"Topic","Question","Question.Number","Question.Number.formatted","variable.rename"
"Total By-Mail Ballots Rejected by Reason Rejected","Multiple ballots returned in one envelope","C4k","qc4k","mail_absenteeRejectReason_multipleBallotsOneEnvelope"
"Total By-Mail Ballots Rejected by Reason Rejected","Voter deceased","C4l","qc4l","mail_absenteeRejectReason_voterDeceased"
"Total By-Mail Ballots Rejected by Reason Rejected","Voter already voted in person","C4m","qc4m","mail_absenteeRejectReason_votedInPerson"
"Total By-Mail Ballots Rejected by Reason Rejected","First-time voter without proper identification","C4n","qc4n","mail_absenteeRejectReason_noIdentification"
"Total By-Mail Ballots Rejected by Reason Rejected","No ballot application on record","C4o","qc4o","mail_absenteeRejectReason_noBallotApplication"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Description Text 1","C4p_Other","qc4p_other","mail_absenteeRejectReason_other1_o"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Count 1","C4p","qc4p","mail_absenteeRejectReason_other1"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Description Text 2","C4q_Other","qc4q_other","mail_absenteeRejectReason_other2_o"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Count 2","C4q","qc4q","mail_absenteeRejectReason_other2"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Description Text 3","C4r_Other","qc4r_other","mail_absenteeRejectReason_other3_o"
"Total By-Mail Ballots Rejected by Reason Rejected","Other - Count 3","C4r","qc4r","mail_absenteeRejectReason_other3"
"Total By-Mail Ballots Rejected by Reason Rejected","Comments","C4Comments","qc4comments","mail_absenteeRejectReason_c"
"Total In-Person Voting","Voted at a physical polling place on Election Day","D1a","qd1a","inperson_ballotsCast_electionDay"
"Total In-Person Voting","Voted at an early vote location","D1b","qd1b","inperson_ballotsCast_early"
"Total In-Person Voting","Comments","D1Comments","qd1comments","inperson_ballotsCast_c"
"Total Number of Precincts","TOTAL number of precincts in your jurisdiction for the November 2018 general election","D2a","qd2a","inperson_precinctCount"
"Total Number of Precincts","Comments","D2Comments","qd2comments","inperson_precinctCount_c"
"Total Number of Physical Polling Places - Election Day Voting","TOTAL","D3a","qd3a","inperson_pollingPlaces_electionDay_total"
"Total Number of Physical Polling Places - Election Day Voting","Physical polling places other than election officers (e.g. libraries, schools, mobile voting, location)","D3b","qd3b","inperson_pollingPlaces_electionDay_standard"
"Total Number of Physical Polling Places - Election Day Voting","Election offices","D3c","qd3c","inperson_pollingPlaces_electionDay_electionOffices"
"Total Number of Physical Polling Places - Early Voting","TOTAL","D4a","qd4a","inperson_pollingPlaces_early_total"
"Total Number of Physical Polling Places - Early Voting","Physical polling places other than election officers (e.g. libraries, schools, mobile voting, location)","D4b","qd4b","inperson_pollingPlaces_early_standard"
"Total Number of Physical Polling Places - Early Voting","Election offices","D4c","qd4c","inperson_pollingPlaces_early_electionOffices"
"Total Number of Physical Polling Places - Early Voting","Comments","D3-D4Comments","qd3-d4comments","qd3-d4comments"
"Total Number of Poll Workers","Total Number of Poll Workers - Election Day Voting","D5","qd5","inperson_pollWorkers_electionDay"
"Total Number of Poll Workers","Total Number of Poll Workers - Early Voting","D6","qd6","inperson_pollWorkers_early"
"Total Number of Poll Workers","Comments","D5-D6Comments","qd5-d6comments","qd5-d6comments"
"Age of Poll Workers","TOTAL number of poll workers","D7a","qd7a","inperson_pollWorkers_total"
"Age of Poll Workers","Under 18 years old","D7b","qd7b","inperson_pollWorkers_under18"
"Age of Poll Workers","18 to 25","D7c","qd7c","inperson_pollWorkers_18to25"
"Age of Poll Workers","26 to 40","D7d","qd7d","inperson_pollWorkers_26to40"
"Age of Poll Workers","41 to 60","D7e","qd7e","inperson_pollWorkers_41to60"
"Age of Poll Workers","61 to 70","D7f","qd7f","inperson_pollWorkers_61to70"
"Age of Poll Workers","71 years old and over","D7g","qd7g","inperson_pollWorkers_71AndOlder"
"Age of Poll Workers","Comments","D7Comments","qd7comments","inperson_pollWorkers_c"
"Ease of Recruiting Poll Workers","Pull Down Menu (Very Difficult, Somewhat Difficult, Neither Difficult nor Easy, Somewhat Easy, Very Easy, Not Enough Information to Answer)","D8","qd8","inperson_difficultyRecruitingPollWorkers"
"Ease of Recruiting Poll Workers","Comments","D8Comments","qd8comments","inperson_difficultyRecruitingPollWorkers_c"
"Provisional Ballots","TOTAL number of voters who submitted provisional ballots","E1a","qe1a","prov_provisionalCast_total"
"Provisional Ballots","Counted the full ballot","E1b","qe1b","prov_provisionalCast_fullCount"
"Provisional Ballots","Counted part of the ballot","E1c","qe1c","prov_provisionalCast_partialCount"
"Provisional Ballots","Rejected ballot","E1d","qe1d","prov_provisionalCast_rejected"
"Provisional Ballots","Other - Description Text 1","E1e_Other","qe1e_other","prov_provisionalCast_other1_o"
"Provisional Ballots","Other - Count 1","E1e","qe1e","prov_provisionalCast_other1"
"Provisional Ballots","Comments","E1Comments","qe1comments","prov_provisionalCast_c"
"Reason for Provisional Ballot Rejection","TOTAL number of domestic civilian by-mail ballots rejected","E2a","qe2a","prov_provisionalRejectReason_total"
"Reason for Provisional Ballot Rejection","Voter not registered in the state","E2b","qe2b","prov_provisionalRejectReason_notRegistered"
"Reason for Provisional Ballot Rejection","Voter registered in state but attempted to vote in the wrong jurisdiction","E2c","qe2c","prov_provisionalRejectReason_wrongJurisdiction"
"Reason for Provisional Ballot Rejection","Voter registered in state but attempted to vote in the wrong precinct","E2d","qe2d","prov_provisionalRejectReason_wrongPrecinct"
"Reason for Provisional Ballot Rejection","Failure to provide sufficient identification","E2e","qe2e","prov_provisionalRejectReason_noIdentification"
"Reason for Provisional Ballot Rejection","Envelope and/or ballot was incompete and/or illegible","E2f","qe2f","prov_provisionalRejectReason_incompleteEnvelope"
"Reason for Provisional Ballot Rejection","Ballot missing from envelope","E2g","qe2g","prov_provisionalRejectReason_ballotMissing"
"Reason for Provisional Ballot Rejection","No signature","E2h","qe2h","prov_provisionalRejectReason_noSig"
"Reason for Provisional Ballot Rejection","Non-matching signature","E2i","qe2i","prov_provisionalRejectReason_noSigMatch"
"Reason for Provisional Ballot Rejection","Voter already voted","E2j","qe2j","prov_provisionalRejectReason_alreadyVoted"
"Reason for Provisional Ballot Rejection","Other - Description Text 1","E2k_Other","qe2k_other","prov_provisionalRejectReason_other1_o"
"Reason for Provisional Ballot Rejection","Other - Count 1","E2k","qe2k","prov_provisionalRejectReason_other1"
"Reason for Provisional Ballot Rejection","Other - Description Text 2","E2l_Other","qe2l_other","prov_provisionalRejectReason_other2_o"
"Reason for Provisional Ballot Rejection","Other - Count 2","E2l","qe2l","prov_provisionalRejectReason_other2"
"Reason for Provisional Ballot Rejection","Other - Description Text 3","E2m_Other","qe2m_other","prov_provisionalRejectReason_other3_o"
"Reason for Provisional Ballot Rejection","Other - Count 3","E2m","qe2m","prov_provisionalRejectReason_other3"
"Reason for Provisional Ballot Rejection","Comments","E2Comments","qe2comments","prov_provisionalRejectReason_c"
"Total Votes Cast and Counted in the 2018 Election","TOTAL number of votes cast and counted","F1a","qf1a","partic_voterParticipation_total"
"Total Votes Cast and Counted in the 2018 Election","Voted at a physical polling place on Election Day","F1b","qf1b","partic_voterParticipation_pollingPlaceED"
"Total Votes Cast and Counted in the 2018 Election","UOCAVA voters who voted via absentee or FWAB","F1c","qf1c","partic_voterParticipation_uocava"
"Total Votes Cast and Counted in the 2018 Election","Voted using a domestic civilian by-mail ballot","F1d","qf1d","partic_voterParticipation_voteByMail"
"Total Votes Cast and Counted in the 2018 Election","Voted using a provisional ballot","F1e","qf1e","partic_voterParticipation_provisional"
"Total Votes Cast and Counted in the 2018 Election","Voted at an in-person early voting location","F1f","qf1f","partic_voterParticipation_inPersonEarly"
"Total Votes Cast and Counted in the 2018 Election","Voted by mail in a vote by mail jurisdiction","F1g","qf1g","partic_voterParticipation_voteByMailAllMailJurisdiction"
"Total Votes Cast and Counted in the 2018 Election","Other - Description Text 1","F1h_Other","qf1h_other","partic_voterParticipation_other1_o"
"Total Votes Cast and Counted in the 2018 Election","Other - Count 1","F1h","qf1h","partic_voterParticipation_other1"
"Total Votes Cast and Counted in the 2018 Election","Comments","F1Comments","qf1comments","partic_voterParticipation_c"
"Source of Participation Data (Select One)","Pull Down Menu (Poll Books and Number of By-mail/Provisional Participants, Number of Ballots Counted, Vote History, Votes Cast, Other)","F2","qf2","partic_voterParticipationSource"
"Source of Participation Data (Select One)","Other - Description Text 1","F2_Other","qf2_other","partic_voterParticipationSource_o"
"Source of Participation Data (Select One)","Comments","F2Comments","qf2comments","partic_voterParticipationSource_c"
"Use of Electronic Poll Books","Sign voters in (Yes/No)","F3a","qf3a","partic_pollBookUsage_electronic_signIn"
"Use of Electronic Poll Books","Update voter history (Yes/No)","F3b","qf3b","partic_pollBookUsage_electronic_updateVoterHistory"
"Use of Electronic Poll Books","Look up polling places (Yes/No)","F3c","qf3c","partic_pollBookUsage_electronic_lookUpPollingPlace"
"Use of Electronic Poll Books","Other - Description Text 1","F3d_Other","qf3d_other","partic_pollBookUsage_electronic_other_o"
"Use of Electronic Poll Books","Other (Yes/No)","F3d","qf3d","partic_pollBookUsage_electronic_other"
"Use of Paper Poll Books","Sign voters in (Yes/No)","F4a","qf4a","partic_pollBookUsage_paper_signIn"
"Use of Paper Poll Books","Update voter history (Yes/No)","F4b","qf4b","partic_pollBookUsage_paper_updateVoterHistory"
"Use of Paper Poll Books","Look up polling places (Yes/No)","F4c","qf4c","partic_pollBookUsage_paper_lookUpPollingPlace"
"Use of Paper Poll Books","Other - Description Text 1","F4d_Other","qf4d_other","partic_pollBookUsage_paper_other_o"
"Use of Paper Poll Books","Other (Yes/No)","F4d","qf4d","partic_pollBookUsage_paper_other"
"Use of Paper Poll Books","Comments","F3-F4Comments","qf3-f4comments","qf3-f4comments"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Did your jurisdiction use any DRE with no VVPAT for the 2018 Election? - PULL DOWN
(Yes/No)","F5a","qf5a","partic_votingEquipment_DRE"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make / Model DRE w/o VVPAT_1 - PULL DOWN
(Pull down with all make/model options for DRE w/o VVPATs)","F5b_1","qf5b_1","partic_votingEquipment_DRE_make1"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_1
Other - Description","F5b_1other","qf5b_1other","partic_votingEquipment_DRE_make1_o"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_1
Number of machines of this make and model deployed for 2018 Election","F5c_1","qf5c_1","partic_votingEquipment_DRE_make1_num"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make / Model DRE w/o VVPAT_2 - PULL DOWN
(Pull down with all make/model options for DRE w/o VVPATs)","F5b_2","qf5b_2","partic_votingEquipment_DRE_make2"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_2
Other - Description","F5b_2other","qf5b_2other","partic_votingEquipment_DREt_make2_o"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_2
Number of machines of this make and model deployed for 2018 Election","F5c_2","qf5c_2","partic_votingEquipment_DRE_make2_num"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make / Model DRE w/o VVPAT_3 - PULL DOWN
(Pull down with all make/model options for DRE w/o VVPATs)","F5b_3","qf5b_3","partic_votingEquipment_DRE_make3"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_3
Other - Description","F5b_3other","qf5b_3other","partic_votingEquipment_DRE_make3_o"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Make/Model  DRE w/o VVPAT_3
Number of machines of this make and model deployed for 2018 Election","F5c_3","qf5c_3","partic_votingEquipment_DRE_make3_num"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F5d_1","qf5d_1","partic_votingEquipment_DRE_useElectionDay"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Were any of the listed machines used as...
Special Device Accessible to Voters with a Disability - PULL DOWN
(Yes/No)","F5d_2","qf5d_2","partic_votingEquipment_DRE_useDisability"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Were any of the listed machines used for...
Provisional Ballot Voting - PULL DOWN
(Yes/No)","F5d_3","qf5d_3","partic_votingEquipment_DRE_useProvisional"
"Voting Technology - Direct Recording Electronic Machines Not Equipped with a Voter-Verified Paper Audit Trail (DRE w/o VVPAT)","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F5d_4","qf5d_4","partic_votingEquipment_DRE_useEarly"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Did your jurisdiction use any DRE w/ VVPAT for the 2018 Election? - PULL DOWN
(Yes/No)","F6a","qf6a","partic_votingEquipment_DRE_vvpat"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make / Model DRE w/ VVPAT_1 - PULL DOWN
(Pull down with all make/model options for DRE w/ VVPATs with VVPAT)","F6b_1","qf6b_1","partic_votingEquipment_DRE_vvpat_make1"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_1
Other - Description","F6b_1other","qf6b_1other","partic_votingEquipment_DRE_vvpat_make1_o"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_1
Number of machines of this make and model deployed for 2018 Election","F6c_1","qf6c_1","partic_votingEquipment_DRE_vvpat_make1_num"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make / Model DRE w/ VVPAT_2 - PULL DOWN
(Pull down with all make/model options for DRE w/ VVPATs  with VVPAT)","F6b_2","qf6b_2","partic_votingEquipment_DRE_vvpat_make2"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_2
Other - Description","F6b_2other","qf6b_2other","partic_votingEquipment_DRE_vvpat_make2_o"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_2
Number of machines of this make and model deployed for 2018 Election","F6c_2","qf6c_2","partic_votingEquipment_DRE_vvpat_make2_num"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make / Model DRE w/ VVPAT_3 - PULL DOWN
(Pull down with all make/model options for DRE w/ VVPATs  with VVPAT)","F6b_3","qf6b_3","partic_votingEquipment_DRE_vvpat_make3"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_3
Other - Description","F6b_3other","qf6b_3other","partic_votingEquipment_DRE_vvpat_make3_o"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Make/Model  DRE w/ VVPAT_3
Number of machines of this make and model deployed for 2018 Election","F6c_3","qf6c_3","partic_votingEquipment_DRE_vvpat_make3_num"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F6d_1","qf6d_1","partic_votingEquipment_DRE_vvpat_useElectionDay"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Were any of the listed machines used as...
Special Device Accessible to Voters with a Disability - PULL DOWN
(Yes/No)","F6d_2","qf6d_2","partic_votingEquipment_DRE_vvpat_useDisability"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Were any of the listed machines used for...
Provisional Ballot Voting - PULL DOWN
(Yes/No)","F6d_3","qf6d_3","partic_votingEquipment_DRE_vvpat_useProvisional"
"Voting Technology - Direct Recording Electronic Machines Equipped with a Voter-Verified Paper Audit Trail (DRE w/ VVPAT)","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F6d_4","qf6d_4","partic_votingEquipment_DRE_vvpat_useEarly"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Did your jurisdiction use any ballot marking device equipment for the 2018 Election? - PULL DOWN
(Yes/No)","F7a","qf7a","partic_votingEquipment_BMD"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make / Model Ballot Marking Device_1 - PULL DOWN
(Pull down with all make/model options for Ballot Marking Device equipment)","F7b_1","qf7b_1","partic_votingEquipment_BMD_make1"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_1
Other - Description","F7b_1other","qf7b_1other","partic_votingEquipment_BMD_make1_o"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_1
Number of machines of this make and model deployed for 2018 Election","F7c_1","qf7c_1","partic_votingEquipment_BMD_make1_num"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make / Model Ballot Marking Device_2 - PULL DOWN
(Pull down with all make/model options for Ballot Marking Device  equipment)","F7b_2","qf7b_2","partic_votingEquipment_BMD_make2"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_2
Other - Description","F7b_2other","qf7b_2other","partic_votingEquipment_BMD_make2_o"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_2
Number of machines of this make and model deployed for 2018 Election","F7c_2","qf7c_2","partic_votingEquipment_BMD_make2_num"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make / Model Ballot Marking Device_3 - PULL DOWN
(Pull down with all make/model options for Ballot Marking Device equipment)","F7b_3","qf7b_3","partic_votingEquipment_BMD_make3"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_3
Other - Description","F7b_3other","qf7b_3other","partic_votingEquipment_BMD_make3_o"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Make/Model  Ballot Marking Device_3
Number of machines of this make and model deployed for 2018 Election","F7c_3","qf7c_3","partic_votingEquipment_BMD_make3_num"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F7d_1","qf7d_1","partic_votingEquipment_BMD_useElectionDay"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Were any of the listed machines used as...
Special Device Accessible to Voters with a Disability - PULL DOWN
(Yes/No)","F7d_2","qf7d_2","partic_votingEquipment_BMD_useDisability"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Were any of the listed machines used for...
Provisional Ballot Voting - PULL DOWN
(Yes/No)","F7d_3","qf7d_3","partic_votingEquipment_BMD_useProvisional"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F7d_4","qf7d_4","partic_votingEquipment_BMD_useEarly"
"Voting Technology - Electronic System that Produces a Paper Record but Does Not Tabulate Votes (Ballot Marking Device)","Were any of the listed machines used for...
By Mail voting - PULL DOWN
(Yes/No)","F7d_5","qf7d_5","partic_votingEquipment_BMD_useMailCount"
"Voting Technology - Scanner (Optical/Digital)","Did your jurisdiction use any scanner equipment for the 2018 Election? - PULL DOWN
(Yes/No)","F8a","qf8a","partic_votingEquipment_scanner"
"Voting Technology - Scanner (Optical/Digital)","Make / Model Scanner_1 - PULL DOWN
(Pull down with all make/model options for Scanner equipment)","F8b_1","qf8b_1","partic_votingEquipment_scanner_make1"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_1
Other - Description","F8b_1other","qf8b_1other","partic_votingEquipment_scanner_make1_o"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_1
Number of machines of this make and model deployed for 2018 Election","F8c_1","qf8c_1","partic_votingEquipment_scanner_make1_num"
"Voting Technology - Scanner (Optical/Digital)","Make / Model Scanner_2 - PULL DOWN
(Pull down with all make/model options for Scanner  equipment)","F8b_2","qf8b_2","partic_votingEquipment_scanner_make2"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_2
Other - Description","F8b_2other","qf8b_2other","partic_votingEquipment_scanner_make2_o"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_2
Number of machines of this make and model deployed for 2018 Election","F8c_2","qf8c_2","partic_votingEquipment_scanner_make2_num"
"Voting Technology - Scanner (Optical/Digital)","Make / Model Scanner_3 - PULL DOWN
(Pull down with all make/model options for Scanner equipment)","F8b_3","qf8b_3","partic_votingEquipment_scanner_make3"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_3
Other - Description","F8b_3other","qf8b_3other","partic_votingEquipment_scanner_make3_o"
"Voting Technology - Scanner (Optical/Digital)","Make/Model  Scanner_3
Number of machines of this make and model deployed for 2018 Election","F8c_3","qf8c_3","partic_votingEquipment_scanner_make3_num"
"Voting Technology - Scanner (Optical/Digital)","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F8d_1","qf8d_1","partic_votingEquipment_scanner_useElectionDay"
"Voting Technology - Scanner (Optical/Digital)","Were any of the listed machines used as...
Special Device Accessible to Voters with a Disability - PULL DOWN
(Yes/No)","F8d_2","qf8d_2","partic_votingEquipment_scanner_useDisability"
"Voting Technology - Scanner (Optical/Digital)","Were any of the listed machines used for...
Provisional Ballot Voting - PULL DOWN
(Yes/No)","F8d_3","qf8d_3","partic_votingEquipment_scanner_useProvisional"
"Voting Technology - Scanner (Optical/Digital)","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F8d_4","qf8d_4","partic_votingEquipment_scanner_useEarly"
"Voting Technology - Scanner (Optical/Digital)","Were any of the listed machines used for...
By Mail voting - PULL DOWN
(Yes/No)","F8d_5","qf8d_5","partic_votingEquipment_scanner_useMailCount"
"Voting Technology - Punch Card","Did your jurisdiction use any Punch Card equipment for the 2018 Election? - PULL DOWN
(Yes/No)","F9a","qf9a","partic_votingEquipment_punchCard"
"Voting Technology - Punch Card","Make/Model  Punch Card_1
Other - Description","F9b_1other","qf9b_1other","partic_votingEquipment_punchCard_make1_o"
"Voting Technology - Punch Card","Make/Model  Punch Card_1
Number of machines of this make and model deployed for 2018 Election","F9c_1","qf9c_1","partic_votingEquipment_punchCard_make1_num"
"Voting Technology - Punch Card","Make/Model  Punch Card_2
Other - Description","F9b_2other","qf9b_2other","partic_votingEquipment_punchCard_make2_o"
"Voting Technology - Punch Card","Make/Model  Punch Card_2
Number of machines of this make and model deployed for 2018 Election","F9c_2","qf9c_2","partic_votingEquipment_punchCard_make2_num"
"Voting Technology - Punch Card","Make/Model  Punch Card_3
Other - Description","F9b_3other","qf9b_3other","partic_votingEquipment_punchCard_make3_o"
"Voting Technology - Punch Card","Make/Model  Punch Card_3
Number of machines of this make and model deployed for 2018 Election","F9c_3","qf9c_3","partic_votingEquipment_punchCard_make3_num"
"Voting Technology - Punch Card","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F9d_1","qf9d_1","partic_votingEquipment_punchCard_useElectionDay"
"Voting Technology - Punch Card","Were any of the listed machines used as...
Special Device Accessible to Disabled Voters - PULL DOWN
(Yes/No)","F9d_2","qf9d_2","partic_votingEquipment_punchCard_useDisability"
"Voting Technology - Punch Card","Were any of the listed machines used for...
Provisional Ballot Voting - PULL DOWN
(Yes/No)","F9d_3","qf9d_3","partic_votingEquipment_punchCard_useProvisional"
"Voting Technology - Punch Card","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F9d_4","qf9d_4","partic_votingEquipment_punchCard_useEarly"
"Voting Technology - Punch Card","Were any of the listed machines used for...
By Mail voting - PULL DOWN
(Yes/No)","F9d_5","qf9d_5","partic_votingEquipment_punchCard_useMailCount"
"Voting Technology - Lever","Did your jurisdiction use any Lever equipment for the 2018 Election? - PULL DOWN
(Yes/No)","F10a","qf10a","partic_votingEquipment_lever"
"Voting Technology - Lever","Make/Model  Lever_1
Other - Description","F10b_1other","qf10b_1other","partic_votingEquipment_lever_make1_o"
"Voting Technology - Lever","Make/Model  Lever_1
Number of machines of this make and model deployed for 2018 Election","F10c_1","qf10c_1","partic_votingEquipment_lever_make1_num"
"Voting Technology - Lever","Make/Model  Lever_2
Other - Description","F10b_2other","qf10b_2other","partic_votingEquipment_lever_make2_o"
"Voting Technology - Lever","Make/Model  Lever_2
Number of machines of this make and model deployed for 2018 Election","F10c_2","qf10c_2","partic_votingEquipment_lever_make2_num"
"Voting Technology - Lever","Make/Model  Lever_3
Other - Description","F10b_3other","qf10b_3other","partic_votingEquipment_lever_make3_o"
"Voting Technology - Lever","Make/Model  Lever_3
Number of machines of this make and model deployed for 2018 Election","F10c_3","qf10c_3","partic_votingEquipment_lever_make3_num"
"Voting Technology - Lever","Were any of the listed machines used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F10d_1","qf10d_1","partic_votingEquipment_lever_useElectionDay"
"Voting Technology - Lever","Were any of the listed machines used as...
Special Device Accessible to Disabled Voters - PULL DOWN
(Yes/No)","F10d_2","qf10d_2","partic_votingEquipment_lever_useDisability"
"Voting Technology - Lever","Were any of the listed machines used for...
In-Person Early Voting - PULL DOWN
(Yes/No)","F10d_4","qf10d_4","partic_votingEquipment_lever_useEarly"
"Voting Technology - Hand Counted Paper Ballots (Not Optical/Digital Scan System)","Did your jurisdiction use Hand Counting for the 2018 Election? - PULL DOWN
(Yes/No)","F11a","qf11a","partic_votingEquipment_handCount"
"Voting Technology - Hand Counted Paper Ballots (Not Optical/Digital Scan System)","Was hand counting used for...
In-precinct Election Day Regular Ballot Voting - PULL DOWN
(Yes/No)","F11d_1","qf11d_1","partic_votingEquipment_handCount_useElectionDay"
"Voting Technology - Hand Counted Paper Ballots (Not Optical/Digital Scan System)","Was hand counting used as…
Special Device Accessible to Voters with a Disability - PULL DOWN
(Yes/No)","F11d_2","qf11d_2","partic_votingEquipment_handCount_useDisability"
